%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.019100    1.0594146238E-07    4.2729154226E-27
 7443.019200    1.0590081262E-07    4.2712759040E-27
 7443.019300    1.0586025120E-07    4.2696399487E-27
 7443.019400    1.0581977814E-07    4.2680075570E-27
 7443.019500    1.0577939345E-07    4.2663787295E-27
 7443.019600    1.0573909714E-07    4.2647534666E-27
 7443.019700    1.0569888921E-07    4.2631317685E-27
 7443.019800    1.0565876968E-07    4.2615136354E-27
 7443.019900    1.0561873853E-07    4.2598990674E-27
 7443.020000    1.0557879578E-07    4.2582880645E-27
 7443.020100    1.0553894142E-07    4.2566806266E-27
 7443.020200    1.0549917544E-07    4.2550767536E-27
 7443.020300    1.0545949784E-07    4.2534764452E-27
 7443.020400    1.0541990862E-07    4.2518797009E-27
 7443.020500    1.0538040775E-07    4.2502865205E-27
 7443.020600    1.0534099523E-07    4.2486969034E-27
 7443.020700    1.0530167104E-07    4.2471108489E-27
 7443.020800    1.0526243517E-07    4.2455283564E-27
 7443.020900    1.0522328759E-07    4.2439494251E-27
 7443.021000    1.0518422828E-07    4.2423740541E-27
 7443.021100    1.0514525723E-07    4.2408022426E-27
 7443.021200    1.0510637441E-07    4.2392339896E-27
 7443.021300    1.0506757978E-07    4.2376692938E-27
 7443.021400    1.0502887333E-07    4.2361081542E-27
 7443.021500    1.0499025501E-07    4.2345505696E-27
 7443.021600    1.0495172480E-07    4.2329965385E-27
 7443.021700    1.0491328267E-07    4.2314460597E-27
 7443.021800    1.0487492857E-07    4.2298991316E-27
 7443.021900    1.0483666246E-07    4.2283557527E-27
 7443.022000    1.0479848432E-07    4.2268159214E-27
 7443.022100    1.0476039409E-07    4.2252796360E-27
 7443.022200    1.0472239174E-07    4.2237468947E-27
 7443.022300    1.0468447721E-07    4.2222176958E-27
 7443.022400    1.0464665046E-07    4.2206920373E-27
 7443.022500    1.0460891145E-07    4.2191699173E-27
 7443.022600    1.0457126011E-07    4.2176513337E-27
 7443.022700    1.0453369641E-07    4.2161362845E-27
 7443.022800    1.0449622028E-07    4.2146247674E-27
 7443.022900    1.0445883167E-07    4.2131167803E-27
 7443.023000    1.0442153053E-07    4.2116123209E-27
 7443.023100    1.0438431679E-07    4.2101113868E-27
 7443.023200    1.0434719040E-07    4.2086139755E-27
 7443.023300    1.0431015129E-07    4.2071200847E-27
 7443.023400    1.0427319940E-07    4.2056297117E-27
 7443.023500    1.0423633467E-07    4.2041428540E-27
 7443.023600    1.0419955703E-07    4.2026595090E-27
 7443.023700    1.0416286641E-07    4.2011796738E-27
 7443.023800    1.0412626275E-07    4.1997033457E-27
 7443.023900    1.0408974597E-07    4.1982305219E-27
 7443.024000    1.0405331601E-07    4.1967611996E-27
 7443.024100    1.0401697278E-07    4.1952953756E-27
 7443.024200    1.0398071622E-07    4.1938330471E-27
 7443.024300    1.0394454625E-07    4.1923742110E-27
 7443.024400    1.0390846279E-07    4.1909188642E-27
 7443.024500    1.0387246576E-07    4.1894670035E-27
 7443.024600    1.0383655509E-07    4.1880186257E-27
 7443.024700    1.0380073069E-07    4.1865737276E-27
 7443.024800    1.0376499249E-07    4.1851323057E-27
 7443.024900    1.0372934039E-07    4.1836943569E-27
 7443.025000    1.0369377431E-07    4.1822598776E-27
 7443.025100    1.0365829417E-07    4.1808288643E-27
 7443.025200    1.0362289988E-07    4.1794013136E-27
 7443.025300    1.0358759135E-07    4.1779772220E-27
 7443.025400    1.0355236850E-07    4.1765565857E-27
 7443.025500    1.0351723122E-07    4.1751394012E-27
 7443.025600    1.0348217944E-07    4.1737256648E-27
 7443.025700    1.0344721305E-07    4.1723153727E-27
 7443.025800    1.0341233197E-07    4.1709085211E-27
 7443.025900    1.0337753610E-07    4.1695051062E-27
 7443.026000    1.0334282534E-07    4.1681051242E-27
 7443.026100    1.0330819959E-07    4.1667085710E-27
 7443.026200    1.0327365876E-07    4.1653154429E-27
 7443.026300    1.0323920276E-07    4.1639257356E-27
 7443.026400    1.0320483146E-07    4.1625394454E-27
 7443.026500    1.0317054479E-07    4.1611565680E-27
 7443.026600    1.0313634263E-07    4.1597770993E-27
 7443.026700    1.0310222489E-07    4.1584010352E-27
 7443.026800    1.0306819145E-07    4.1570283716E-27
 7443.026900    1.0303424222E-07    4.1556591041E-27
 7443.027000    1.0300037708E-07    4.1542932285E-27
 7443.027100    1.0296659594E-07    4.1529307405E-27
 7443.027200    1.0293289868E-07    4.1515716358E-27
 7443.027300    1.0289928520E-07    4.1502159101E-27
 7443.027400    1.0286575538E-07    4.1488635588E-27
 7443.027500    1.0283230912E-07    4.1475145776E-27
 7443.027600    1.0279894631E-07    4.1461689620E-27
 7443.027700    1.0276566683E-07    4.1448267075E-27
 7443.027800    1.0273247057E-07    4.1434878095E-27
 7443.027900    1.0269935742E-07    4.1421522636E-27
 7443.028000    1.0266632726E-07    4.1408200650E-27
 7443.028100    1.0263337998E-07    4.1394912093E-27
 7443.028200    1.0260051547E-07    4.1381656916E-27
 7443.028300    1.0256773361E-07    4.1368435073E-27
 7443.028400    1.0253503428E-07    4.1355246518E-27
 7443.028500    1.0250241736E-07    4.1342091203E-27
 7443.028600    1.0246988273E-07    4.1328969079E-27
 7443.028700    1.0243743029E-07    4.1315880099E-27
 7443.028800    1.0240505989E-07    4.1302824216E-27
 7443.028900    1.0237277144E-07    4.1289801379E-27
 7443.029000    1.0234056480E-07    4.1276811541E-27
 7443.029100    1.0230843986E-07    4.1263854652E-27
 7443.029200    1.0227639648E-07    4.1250930664E-27
 7443.029300    1.0224443456E-07    4.1238039526E-27
 7443.029400    1.0221255396E-07    4.1225181189E-27
 7443.029500    1.0218075456E-07    4.1212355604E-27
 7443.029600    1.0214903625E-07    4.1199562719E-27
 7443.029700    1.0211739888E-07    4.1186802484E-27
 7443.029800    1.0208584234E-07    4.1174074849E-27
 7443.029900    1.0205436650E-07    4.1161379763E-27
 7443.030000    1.0202297123E-07    4.1148717175E-27
 7443.030100    1.0199165642E-07    4.1136087033E-27
 7443.030200    1.0196042192E-07    4.1123489286E-27
 7443.030300    1.0192926761E-07    4.1110923883E-27
 7443.030400    1.0189819337E-07    4.1098390771E-27
 7443.030500    1.0186719905E-07    4.1085889899E-27
 7443.030600    1.0183628455E-07    4.1073421213E-27
 7443.030700    1.0180544972E-07    4.1060984663E-27
 7443.030800    1.0177469443E-07    4.1048580195E-27
 7443.030900    1.0174401855E-07    4.1036207757E-27
 7443.031000    1.0171342196E-07    4.1023867295E-27
 7443.031100    1.0168290451E-07    4.1011558756E-27
 7443.031200    1.0165246609E-07    4.0999282088E-27
 7443.031300    1.0162210655E-07    4.0987037237E-27
 7443.031400    1.0159182576E-07    4.0974824149E-27
 7443.031500    1.0156162359E-07    4.0962642770E-27
 7443.031600    1.0153149991E-07    4.0950493048E-27
 7443.031700    1.0150145459E-07    4.0938374927E-27
 7443.031800    1.0147148748E-07    4.0926288354E-27
 7443.031900    1.0144159845E-07    4.0914233274E-27
 7443.032000    1.0141178738E-07    4.0902209634E-27
 7443.032100    1.0138205411E-07    4.0890217378E-27
 7443.032200    1.0135239853E-07    4.0878256452E-27
 7443.032300    1.0132282049E-07    4.0866326802E-27
 7443.032400    1.0129331986E-07    4.0854428372E-27
 7443.032500    1.0126389650E-07    4.0842561108E-27
 7443.032600    1.0123455027E-07    4.0830724954E-27
 7443.032700    1.0120528104E-07    4.0818919855E-27
 7443.032800    1.0117608867E-07    4.0807145756E-27
 7443.032900    1.0114697303E-07    4.0795402603E-27
 7443.033000    1.0111793397E-07    4.0783690338E-27
 7443.033100    1.0108897136E-07    4.0772008907E-27
 7443.033200    1.0106008506E-07    4.0760358255E-27
 7443.033300    1.0103127493E-07    4.0748738324E-27
 7443.033400    1.0100254084E-07    4.0737149061E-27
 7443.033500    1.0097388264E-07    4.0725590408E-27
 7443.033600    1.0094530020E-07    4.0714062311E-27
 7443.033700    1.0091679338E-07    4.0702564712E-27
 7443.033800    1.0088836203E-07    4.0691097556E-27
 7443.033900    1.0086000603E-07    4.0679660787E-27
 7443.034000    1.0083172523E-07    4.0668254348E-27
 7443.034100    1.0080351948E-07    4.0656878184E-27
 7443.034200    1.0077538866E-07    4.0645532237E-27
 7443.034300    1.0074733263E-07    4.0634216453E-27
 7443.034400    1.0071935123E-07    4.0622930774E-27
 7443.034500    1.0069144434E-07    4.0611675143E-27
 7443.034600    1.0066361181E-07    4.0600449505E-27
 7443.034700    1.0063585350E-07    4.0589253803E-27
 7443.034800    1.0060816927E-07    4.0578087980E-27
 7443.034900    1.0058055898E-07    4.0566951980E-27
 7443.035000    1.0055302250E-07    4.0555845746E-27
 7443.035100    1.0052555968E-07    4.0544769221E-27
 7443.035200    1.0049817037E-07    4.0533722349E-27
 7443.035300    1.0047085445E-07    4.0522705073E-27
 7443.035400    1.0044361176E-07    4.0511717336E-27
 7443.035500    1.0041644218E-07    4.0500759082E-27
 7443.035600    1.0038934555E-07    4.0489830254E-27
